4k,,,,,,,,4k result,,,,,
Worker,3Worker,8Worker,12Worker,50Worker,Server,,,Process Unit,3Worker,8Worker,12Worker,50Worker,Server
2Requester,256.87,260.29,262.97,265.94,260.20,,,2Requester,492.08 ,447.51 ,450.49 ,453.42 ,436.89 
8Requester,511.12,259.72,264.92,258.99,259.27,,,8Requester,746.33 ,446.94 ,452.44 ,446.47 ,435.96 
12Requertser,708.61,337.22,266.13,261.06,257.98,,,12Requertser,943.82 ,524.44 ,453.65 ,448.54 ,434.67 
50Requqster,2595.20,1042.88,734.58,258.71,294.27,,,50Requqster,2830.41 ,1230.10 ,922.10 ,446.19 ,470.96 
,,,,,,,,,,,,,
1080,,,,,,,,1080 result,,,,,
Worker,3Worker,8Worker,12Worker,50Worker,Server,,,Process Unit,3Worker,8Worker,12Worker,50Worker,Server
2Requester,125.78,130.30,128.71,126.86,125.06,,,2Requester,177.42,171.90,170.33,168.44,164.89
8Requester,241.98,129.69,124.90,128.81,130.54,,,8Requester,293.62,171.29,166.52,170.39,170.37
12Requertser,334.31,160.71,129.13,127.37,126.22,,,12Requertser,385.95,202.31,170.75,168.95,166.05
50Requqster,1201.07,489.93,345.12,127.56,142.69,,,50Requqster,1252.71,531.53,386.74,169.14,182.52
,,,,,,,,,,,,,
360,,,,,,,,360 result,,,,,
Worker,3Worker,8Worker,12Worker,50Worker,Server,,,Process Unit,3Worker,8Worker,12Worker,50Worker,Server
2Requester,5.16,5.47,5.60,5.97,5.66,,,2Requester,10.36,9.30,9.46,9.76,13.01
8Requester,10.09,5.69,5.00,5.16,6.02,,,8Requester,15.29,9.52,8.86,8.95,13.37
12Requertser,13.62,7.01,5.11,5.33,6.04,,,12Requertser,18.82,10.84,8.97,9.12,13.39
50Requqster,47.68,19.76,14.18,5.34,6.27,,,50Requqster,52.88,23.59,18.04,9.13,13.62
,,,,,,,,,,,,,
video,,,,,,,,,,,,,
,3Worker,8Worker,12Worker,50Worker,Server,,,,,,,,
360 Convert,2.5,2.5,2.5,2.5,3.77,,,,,,,,
360 Merge,2.7,1.33,1.36,1.29,3.58,,,,,,,,
1080 Convert,31.5,31.5,31.5,31.5,16.17,,,,,,,,
1080 Merge,20.14,10.1,10.12,10.08,23.66,,,,,,,,
4k Convert,134,134,134,134,71.99,,,,,,,,
4K Merge,101.21,53.22,53.52,53.48,104.7,,,,,,,,
